,L_1_values,L_inf_values
272,4.515190252193742e-05,2.1520604444646935e-06
273,4.450555600845942e-05,2.1532023957197018e-06
274,4.500163467168417e-05,2.167043316129736e-06
275,4.444427932102904e-05,2.096865773010355e-06
276,4.425517860545446e-05,2.134186707172285e-06
277,4.533373070429614e-05,2.217678303639628e-06
278,4.4635728901044796e-05,2.1673147021517465e-06
279,4.482240107512893e-05,2.1989672174903745e-06
280,4.484788699923252e-05,2.116472947861535e-06
281,4.428483531296016e-05,2.1693618574145e-06
282,4.5051708301352675e-05,2.197812903290127e-06
283,4.5071852635691085e-05,2.1533738118989743e-06
284,4.5529101453031005e-05,2.2353462642488122e-06
285,4.4330589883371584e-05,2.1314449813292447e-06
286,4.42430343786696e-05,2.121286665198175e-06
287,4.482979679617616e-05,2.1888293028152386e-06
288,4.428973867622212e-05,2.1224805957451976e-06
289,4.489967957246524e-05,2.164176687940195e-06
290,4.470919371434826e-05,2.1422089358354696e-06
291,4.49105304628473e-05,2.1296864649603144e-06
292,4.477573713594221e-05,2.203970854003955e-06
293,4.599503183870899e-05,2.2854769564923733e-06
294,4.474992499602078e-05,2.191346373306128e-06
295,4.565373979575399e-05,2.241643302809937e-06
296,4.512213997408564e-05,2.2058627141608113e-06
297,4.483219198478553e-05,2.1494971896343495e-06
298,4.499808195400265e-05,2.1711955112405523e-06
299,4.455077997421898e-05,2.102918933450295e-06
300,4.485121398649345e-05,2.1165027758636064e-06
301,4.4590512427620266e-05,2.115631488677695e-06
302,4.4498987504682545e-05,2.1054201401233708e-06
303,4.576830770245597e-05,2.2443632554989726e-06
304,4.459727901502865e-05,2.1555602861177582e-06
305,4.519616265796555e-05,2.202103623261266e-06
306,4.441443535015559e-05,2.1711538242214037e-06
307,4.457657235561457e-05,2.1035570171401224e-06
308,4.45991594100031e-05,2.1068587859819687e-06
309,4.462151436414586e-05,2.172499695605437e-06
310,4.410433155278826e-05,2.131788826853393e-06
311,4.4698579622579945e-05,2.1418473168841886e-06
312,4.484679270823668e-05,2.127844882178882e-06
313,4.4796412628565e-05,2.2026936952226343e-06
314,4.503943497810791e-05,2.1979098020469577e-06
315,4.497630516236476e-05,2.150239120323379e-06
316,4.444309931411089e-05,2.0936343909165987e-06
