,L_1_values,L_inf_values
225,2.2053538483215002e-05,5.362932276571768e-07
226,2.2054742612772825e-05,5.363597859338417e-07
227,2.2056123174825598e-05,5.363620136312926e-07
228,2.205663548897049e-05,5.368865713369069e-07
229,2.2032834678579734e-05,5.36567430617863e-07
230,2.2036652396891843e-05,5.372436382895343e-07
231,2.2044080781084348e-05,5.376361604982786e-07
232,2.2050561359109005e-05,5.378312505343336e-07
233,2.2062523030474325e-05,5.361532093501601e-07
234,2.2067160095902675e-05,5.366032170054026e-07
235,2.2061742261230755e-05,5.366948670087096e-07
236,2.207068697207109e-05,5.380030473244665e-07
237,2.2081983776294996e-05,5.379984263469106e-07
238,2.207541690153901e-05,5.381354796404988e-07
239,2.207328072441138e-05,5.387366111668964e-07
240,2.208025952915313e-05,5.387604526808154e-07
241,2.207240853105476e-05,5.38346066781728e-07
242,2.2070280079952222e-05,5.394950541097396e-07
243,2.2074022923354488e-05,5.392389829283109e-07
244,2.2068133522492433e-05,5.380645365553564e-07
245,2.2062589484166785e-05,5.380691178634608e-07
246,2.2059963725679354e-05,5.375365856069376e-07
247,2.2064227319199723e-05,5.372928116139873e-07
248,2.2067469393487618e-05,5.377921454158567e-07
249,2.206341036976324e-05,5.376211922979163e-07
250,2.20605748459641e-05,5.380888061623646e-07
251,2.2063034206567306e-05,5.383212329258023e-07
252,2.2068859392852837e-05,5.369534029086125e-07
253,2.2073038202979216e-05,5.35194928120209e-07
254,2.2072694180925783e-05,5.353796486099635e-07
255,2.2042434651592428e-05,5.360391866939395e-07
256,2.204615339062521e-05,5.365218998636973e-07
257,2.2043629496845406e-05,5.366314827578096e-07
258,2.2041648203283046e-05,5.369620364312855e-07
259,2.20474502880536e-05,5.377876093963991e-07
260,2.2052233206602902e-05,5.383215252202655e-07
261,2.2053674132047403e-05,5.380982310108209e-07
262,2.205266836767724e-05,5.38227756041157e-07
263,2.203315889914824e-05,5.393142756718897e-07
264,2.2036172069769654e-05,5.391553160292853e-07
265,2.2043240062588798e-05,5.392093329656153e-07
266,2.2033920751430938e-05,5.406628495595093e-07
267,2.203649727067717e-05,5.407221037581622e-07
268,2.203114664282456e-05,5.401452212877301e-07
269,2.2066193919466305e-05,5.398470560535011e-07
270,2.208605946074351e-05,5.391413437651276e-07
271,2.2065064021632447e-05,5.386581439253292e-07
